,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,6.47,0,True,2020-05-21,LWO,1,Kiwi.com,2020-02-24T11:13:27.461116,535,299,KRK,2020-05-21,True,2020-02-24
1,6.55,0,True,2020-03-04,OSL,1,Kiwi.com,2020-02-24T10:50:34.832179,1080,419,CPH,2020-03-04,True,2020-02-24
2,7.99,0,True,2020-05-20,NLV,0,Kiwi.com,2020-02-24T11:24:36.000952,110,373,IEV,2020-05-20,True,2020-02-24
3,8.43,0,True,2020-03-27,DNK,0,Kiwi.com,2020-02-24T11:24:21.932941,130,374,IEV,2020-03-25,True,2020-02-24
4,8.55,0,True,2020-04-30,BKK,1,Kiwi.com,2020-02-24T11:08:54.264355,555,488,USM,2020-03-25,True,2020-02-24
5,11.0,0,True,2020-03-16,INI,0,Ryanair,2020-02-23T00:21:31.534771,155,647,BTS,2020-03-13,True,2020-02-24
6,11.0,0,True,2020-03-15,BER,0,Ryanair,2020-02-24T13:53:10.876777,140,471,BLL,2020-03-13,True,2020-02-24
7,11.01,0,True,2020-04-04,BER,0,Ryanair,2020-02-24T12:45:39.194322,180,685,BUD,2020-04-01,True,2020-02-24
8,11.03,0,True,2020-03-10,DUB,0,Ryanair,2020-02-24T07:51:13.368621,125,263,MAN,2020-03-10,True,2020-02-24
9,11.03,0,True,2020-04-06,FRA,0,Ryanair,2020-02-24T12:54:37.989017,160,603,VCE,2020-04-01,True,2020-02-24
10,11.03,0,True,2020-03-03,DUB,0,Ryanair,2020-02-23T19:04:17.146109,160,431,LON,2020-03-03,True,2020-02-24
11,11.03,0,True,2020-04-06,STR,0,Ryanair,2020-02-24T12:44:55.238002,150,547,VIE,2020-04-02,True,2020-02-24
12,11.03,0,True,2020-04-27,VIE,0,Ryanair,2020-02-23T12:52:01.859405,150,547,STR,2020-04-01,True,2020-02-24
13,11.87,0,True,2020-04-02,DTM,0,Opodo,2020-02-22T17:23:54.133469,190,744,VIE,2020-04-01,True,2020-02-24
14,13.17,0,True,2020-03-25,LON,0,Ryanair,2020-02-23T19:22:55.742503,170,431,DUB,2020-03-24,True,2020-02-24
15,13.17,0,True,2020-03-11,NQT,0,Ryanair,2020-02-23T06:30:25.477775,130,334,DUB,2020-03-10,True,2020-02-24
16,13.34,0,True,2020-02-29,OZH,1,Kiwi.com,2020-02-24T11:10:52.486494,1445,384,ODS,2020-02-29,True,2020-02-24
