,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,0.7,0,True,2020-03-17,SRG,0,eDreams,2020-03-02T16:22:00.180572,135,421,JKT,2020-03-17,True,2020-03-05
1,3.3,0,True,2020-05-12,IEV,1,Kiwi.com,2020-03-03T05:53:13.460176,1375,2140,LON,2020-04-07,True,2020-03-05
2,5.69,0,True,2020-05-25,MNL,1,eDreams,2020-03-03T09:43:21.568368,2215,347,KLO,2020-04-24,True,2020-03-05
3,5.81,0,True,2020-05-01,IEV,1,Kiwi.com,2020-03-03T00:22:06.781105,1010,789,KRK,2020-03-26,True,2020-03-05
4,10.11,0,True,2020-08-31,ODS,1,Kiwi.com,2020-03-03T05:08:26.130284,490,625,IST,2020-07-31,True,2020-03-05
5,13.32,0,True,2020-03-31,SHJ,1,Kiwi.com,2020-03-03T06:49:57.829637,505,888,RUH,2020-03-16,True,2020-03-05
6,13.51,0,True,2020-04-30,KUL,0,Trip.com,2020-03-05T08:10:33.562700,145,454,LGK,2020-04-25,True,2020-03-05
7,14.85,0,True,2020-04-08,BKK,0,MyHolidays,2020-03-04T23:18:48.056690,140,450,UTH,2020-04-07,True,2020-03-05
8,15.71,0,True,2020-06-25,GOA,1,Kiwi.com,2020-03-03T06:23:25.242196,860,1036,KRK,2020-06-10,True,2020-03-05
9,16.37,0,True,2020-03-30,ASF,0,Utair,2020-03-04T16:57:04.419650,175,390,VOG,2020-03-28,True,2020-03-05
10,16.37,0,True,2020-08-11,VOG,0,Utair,2020-03-02T18:53:48.864057,155,390,ASF,2020-08-07,True,2020-03-05
11,16.78,0,True,2020-03-15,VLC,0,OneTwoTrip,2020-03-04T18:33:25.555789,615,3311,MOW,2020-03-08,True,2020-03-05
12,17.12,0,True,2020-04-28,SCL,0,FlightNetwork,2020-03-05T00:29:47.443378,122,388,LSC,2020-04-27,True,2020-03-05
13,17.19,0,True,2020-04-18,LSC,0,FlightNetwork,2020-03-03T17:25:18.832453,122,388,SCL,2020-04-17,True,2020-03-05
14,18.4,0,True,2020-04-11,OMS,0,Utair,2020-03-04T15:55:23.602385,175,552,TJM,2020-04-06,True,2020-03-05
15,18.4,0,True,2020-04-27,TJM,0,Utair,2020-03-04T10:41:31.339515,175,552,OMS,2020-04-25,True,2020-03-05
16,18.46,0,True,2020-06-20,EVN,0,City.Travel,2020-03-04T06:08:08.540705,255,82,LWN,2020-05-20,True,2020-03-05
17,19.05,0,True,2020-07-23,ROM,0,OneTwoTrip,2020-03-03T08:19:40.601189,365,1839,LIS,2020-07-14,True,2020-03-05
18,19.1,0,True,2020-05-06,KUL,0,Trip.com,2020-03-04T16:34:52.126102,120,324,PEN,2020-05-05,True,2020-03-05
19,19.31,0,True,2020-07-21,IEV,1,Kiwi.com,2020-03-02T23:35:17.283341,1145,1274,DBV,2020-06-20,True,2020-03-05
20,20.11,0,True,2020-05-03,TGG,0,Trip.com,2020-03-04T09:36:09.389355,125,330,KUL,2020-05-02,True,2020-03-05
21,20.13,0,True,2020-03-17,LWN,0,City.Travel,2020-03-03T16:57:49.568796,315,82,EVN,2020-03-13,True,2020-03-05
22,20.31,0,True,2020-03-27,CRK,0,Kiwi.com,2020-03-04T11:23:35.678089,160,436,KLO,2020-03-25,True,2020-03-05
23,20.54,0,True,2020-05-11,GDN,0,Ryanair,2020-03-02T22:38:22.529914,170,730,OSL,2020-05-08,True,2020-03-05
24,20.54,0,True,2020-05-10,KRK,0,Ryanair,2020-03-02T16:23:40.666736,245,1181,OSL,2020-05-07,True,2020-03-05
25,20.63,0,True,2020-04-12,GDN,0,Wizz Air,2020-03-04T20:56:45.241517,150,612,BLL,2020-03-14,True,2020-03-05
26,20.67,0,True,2020-04-01,OSL,0,Wizz Air,2020-03-03T15:49:54.020940,170,730,GDN,2020-03-30,True,2020-03-05
27,20.73,0,True,2020-05-11,MOW,0,Rusline,2020-03-05T12:57:38.236159,90,131,KLF,2020-04-30,True,2020-03-05
28,20.73,0,True,2020-04-24,KLF,0,Rusline,2020-03-04T21:11:53.198876,90,131,MOW,2020-04-13,True,2020-03-05
29,20.79,0,True,2020-08-19,VIE,0,KupiBilet.ru,2020-03-03T07:05:20.182221,220,61,BTS,2020-07-02,True,2020-03-05
30,20.88,0,True,2020-04-16,VIE,0,Trip.com,2020-03-05T01:08:17.252299,170,657,MIL,2020-04-12,True,2020-03-05
31,20.88,0,True,2020-04-11,MIL,0,Trip.com,2020-03-05T10:07:19.116370,175,657,VIE,2020-04-06,True,2020-03-05
32,21.08,0,True,2020-03-15,GDN,0,Wizz Air,2020-03-03T07:07:26.244976,140,498,STO,2020-03-13,True,2020-03-05
33,21.08,0,True,2020-03-12,STO,0,Wizz Air,2020-03-03T08:28:08.215586,140,498,GDN,2020-03-10,True,2020-03-05
34,21.1,0,True,2020-05-02,MUC,0,Kiwi.com,2020-03-03T06:36:28.217089,290,1397,IEV,2020-03-10,True,2020-03-05
35,21.13,0,True,2020-04-27,JHB,0,Trip.com,2020-03-04T01:32:24.313359,115,251,KUL,2020-03-28,True,2020-03-05
36,21.17,0,True,2020-05-12,KTW,0,Wizz Air,2020-03-05T09:39:31.915612,205,934,STO,2020-05-07,True,2020-03-05
37,21.2,0,True,2020-04-23,ROM,0,Trip.com,2020-03-02T17:14:15.170317,200,780,VIE,2020-04-22,True,2020-03-05
38,21.2,0,True,2020-04-02,BRU,0,Trip.com,2020-03-05T07:16:55.334556,240,1161,WAW,2020-03-31,True,2020-03-05
39,21.35,0,True,2020-04-01,WAW,0,Trip.com,2020-03-05T11:54:47.280843,240,1161,BRU,2020-03-31,True,2020-03-05
40,21.69,0,True,2020-04-12,BTS,0,KupiBilet.ru,2020-03-04T10:23:08.213538,220,61,VIE,2020-04-10,True,2020-03-05
41,21.7,0,True,2020-03-18,OSL,0,Ryanair,2020-03-02T10:37:46.006851,250,1181,KRK,2020-03-16,True,2020-03-05
42,21.7,0,True,2020-04-16,VLC,0,Mytrip.com,2020-03-03T19:29:55.521724,110,274,PMI,2020-04-11,True,2020-03-05
43,21.72,0,True,2020-06-27,PWQ,0,Tickets.kz,2020-03-05T01:43:17.442608,125,407,TSE,2020-06-06,True,2020-03-05
44,21.73,0,True,2020-04-04,TSE,0,Tickets.kz,2020-03-05T12:40:33.786929,125,407,PWQ,2020-04-02,True,2020-03-05
45,21.93,0,True,2020-06-07,BUD,0,Ryanair,2020-03-04T23:13:02.025454,180,685,BER,2020-06-05,True,2020-03-05
46,22.16,0,True,2020-06-05,BER,0,Trip.com,2020-03-03T02:47:09.338529,180,685,BUD,2020-05-06,True,2020-03-05
47,22.26,0,True,2020-05-20,SAO,1,Mytrip.com,2020-03-05T02:53:12.363197,375,359,CWB,2020-05-13,True,2020-03-05
48,22.31,0,True,2020-03-31,CEB,0,Kiwi.com,2020-03-02T10:22:58.379586,135,432,ZAM,2020-03-29,True,2020-03-05
49,22.32,0,True,2020-04-02,BHZ,1,Mytrip.com,2020-03-03T08:38:10.058543,465,373,RIO,2020-03-31,True,2020-03-05
