,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,9.91,0,True,2020-02-23,GDN,0,Ryanair,2020-02-17T16:06:44.758202,150,498,STO,2020-02-22,True,2020-02-17
1,11.05,0,True,2020-03-16,BTS,0,Ryanair,2020-02-17T01:01:53.529666,155,647,INI,2020-03-06,True,2020-02-17
2,11.05,0,True,2020-03-29,BER,0,Ryanair,2020-02-16T20:20:09.122566,140,471,BLL,2020-03-27,True,2020-02-17
3,11.06,0,True,2020-03-03,DUB,0,Ryanair,2020-02-13T18:47:15.607827,160,431,LON,2020-03-03,True,2020-02-17
4,11.46,0,True,2020-02-29,STO,0,Ryanair,2020-02-14T17:38:21.509279,150,498,GDN,2020-02-25,True,2020-02-17
5,13.32,0,True,2020-03-10,LON,0,Ryanair,2020-02-15T18:35:27.736073,150,431,DUB,2020-03-10,True,2020-02-17
6,13.32,0,True,2020-03-04,BHX,0,Ryanair,2020-02-15T17:37:25.213859,135,321,DUB,2020-03-03,True,2020-02-17
7,14.34,0,True,2020-02-28,WAW,0,Ryanair,2020-02-17T19:02:37.717764,185,741,STO,2020-02-24,True,2020-02-17
8,16.56,0,True,2020-03-02,INI,0,Ryanair,2020-02-17T18:36:06.121474,155,647,BTS,2020-02-28,True,2020-02-17
9,16.56,0,True,2020-03-30,RIO,1,Biletix,2020-02-13T22:17:00.666707,670,373,BHZ,2020-03-13,True,2020-02-17
10,16.97,0,True,2020-03-03,GOT,0,Ryanair,2020-02-14T11:22:35.061316,240,1001,LON,2020-02-28,True,2020-02-17
11,17.05,0,True,2020-03-10,VOG,0,Utair,2020-02-17T16:31:10.937613,175,390,ASF,2020-03-06,True,2020-02-17
12,17.05,0,True,2020-03-06,ASF,0,Utair,2020-02-17T09:16:18.715192,175,390,VOG,2020-03-03,True,2020-02-17
13,17.05,0,True,2020-07-15,JHB,0,Trip.com,2020-02-14T07:04:37.943599,105,251,KUL,2020-04-16,True,2020-02-17
14,17.45,0,True,2020-05-12,SCL,0,Trip.com,2020-02-14T14:45:54.240918,119,388,LSC,2020-05-08,True,2020-02-17
15,17.67,0,True,2020-03-30,PUY,0,Ryanair,2020-02-16T16:29:05.449915,180,752,FRA,2020-03-29,True,2020-02-17
16,17.97,0,True,2020-04-28,VIE,0,Ryanair,2020-02-17T12:24:17.546674,150,547,STR,2020-04-24,True,2020-02-17
17,17.97,0,True,2020-04-20,STR,0,Ryanair,2020-02-13T20:31:32.984541,150,547,VIE,2020-04-18,True,2020-02-17
18,18.19,0,True,2020-03-30,WAW,0,Kiwi.com,2020-02-17T13:36:23.264417,220,1026,OSL,2020-03-26,True,2020-02-17
19,18.45,0,True,2020-05-20,BSB,1,Biletix,2020-02-16T21:05:03.932204,530,928,RIO,2020-05-16,True,2020-02-17
20,19.16,0,True,2020-03-09,TJM,0,Utair,2020-02-17T05:41:30.081889,165,552,OMS,2020-02-29,True,2020-02-17
21,19.16,0,True,2020-03-28,OMS,0,Utair,2020-02-17T17:59:47.618214,165,552,TJM,2020-03-21,True,2020-02-17
22,19.35,0,True,2020-05-09,PEN,0,Trip.com,2020-02-16T09:18:02.682365,125,324,KUL,2020-05-04,True,2020-02-17
23,19.67,0,True,2020-03-15,STO,0,Kiwi.com,2020-02-17T12:36:28.906640,255,1186,VIE,2020-03-13,True,2020-02-17
24,19.73,0,True,2020-05-07,KUL,0,Trip.com,2020-02-16T19:23:02.733539,135,385,KBR,2020-04-28,True,2020-02-17
25,19.76,0,True,2020-03-10,VIE,0,Kiwi.com,2020-02-17T15:00:01.265516,260,1186,STO,2020-03-06,True,2020-02-17
26,19.87,0,True,2020-03-11,KHE,0,Ryanair,2020-02-16T12:41:23.987837,235,1080,KTW,2020-03-04,True,2020-02-17
27,19.9,0,True,2020-03-11,DUB,0,Ryanair,2020-02-16T10:08:27.960833,135,329,BRS,2020-03-11,True,2020-02-17
28,19.94,0,True,2020-03-07,LON,0,Ryanair,2020-02-15T21:27:23.264377,190,723,BLL,2020-02-27,True,2020-02-17
29,19.95,0,True,2020-05-27,RIO,2,Biletix,2020-02-16T20:53:00.595556,980,1180,IGU,2020-05-26,True,2020-02-17
30,19.95,0,True,2020-04-01,LBA,0,Ryanair,2020-02-16T12:08:16.436232,125,306,DUB,2020-03-29,True,2020-02-17
31,20.0,0,True,2020-04-26,KUL,0,Trip.com,2020-02-16T17:29:12.567093,140,454,LGK,2020-04-13,True,2020-02-17
32,20.06,0,True,2020-05-14,KUL,0,Trip.com,2020-02-14T19:13:41.823644,130,324,PEN,2020-05-13,True,2020-02-17
33,20.12,0,True,2020-03-06,OSL,0,Wizz Air,2020-02-16T17:46:51.814562,180,730,GDN,2020-03-02,True,2020-02-17
34,20.12,0,True,2020-05-10,GDN,0,Wizz Air,2020-02-16T14:29:06.346311,170,730,OSL,2020-05-07,True,2020-02-17
35,20.33,0,True,2020-03-15,KRK,0,Ryanair,2020-02-17T14:24:33.026134,150,528,BER,2020-03-11,True,2020-02-17
36,20.33,0,True,2020-03-12,WRO,0,Ryanair,2020-02-17T15:57:26.243880,210,877,BRU,2020-03-10,True,2020-02-17
37,20.33,0,True,2020-02-25,GDN,0,Ryanair,2020-02-15T07:18:33.271229,260,1232,ODS,2020-02-22,True,2020-02-17
38,20.33,0,True,2020-02-25,KTW,0,Ryanair,2020-02-17T15:37:09.106382,220,964,ODS,2020-02-22,True,2020-02-17
39,20.33,0,True,2020-02-20,BJA,0,Mytrip.com,2020-02-15T18:16:07.859956,60,166,ALG,2020-02-19,True,2020-02-17
40,20.33,0,True,2020-03-01,KTW,0,Ryanair,2020-02-16T11:09:47.317342,230,1080,KHE,2020-02-23,True,2020-02-17
41,20.33,0,True,2020-03-03,GDN,0,Ryanair,2020-02-17T07:42:02.681927,270,1241,LON,2020-02-28,True,2020-02-17
42,20.33,0,True,2020-03-16,WAW,0,Ryanair,2020-02-17T18:37:04.781006,180,785,GOT,2020-03-06,True,2020-02-17
43,20.33,0,True,2020-02-25,WRO,0,Ryanair,2020-02-17T16:37:07.012871,130,379,GDN,2020-02-22,True,2020-02-17
44,20.33,0,True,2020-06-18,WAW,0,Ryanair,2020-02-16T15:43:08.526587,240,1141,BRU,2020-06-09,True,2020-02-17
45,20.33,0,True,2020-03-19,POZ,0,Ryanair,2020-02-17T00:08:06.487505,200,856,OSL,2020-03-16,True,2020-02-17
46,20.33,0,True,2020-03-21,POZ,0,Ryanair,2020-02-16T13:15:47.484933,260,1198,ODS,2020-03-14,True,2020-02-17
47,20.33,0,True,2020-03-15,KRK,0,Ryanair,2020-02-17T16:09:18.732691,250,1181,OSL,2020-03-14,True,2020-02-17
48,20.33,0,True,2020-03-31,WAW,0,Ryanair,2020-02-17T17:11:54.331052,215,947,CGN,2020-03-30,True,2020-02-17
49,20.33,0,True,2020-04-05,WAW,0,Ryanair,2020-02-17T18:05:48.314015,240,1213,PSR,2020-03-29,True,2020-02-17
50,20.33,0,True,2020-03-31,BZG,0,Ryanair,2020-02-15T13:50:25.776957,215,939,IEV,2020-03-22,True,2020-02-17
51,20.33,0,True,2020-03-26,WAW,0,Ryanair,2020-02-17T19:02:17.184929,245,1096,MIL,2020-03-24,True,2020-02-17
52,20.33,0,True,2020-04-01,WAW,0,Ryanair,2020-02-17T15:14:25.519375,230,1049,EIN,2020-03-25,True,2020-02-17
53,20.33,0,True,2020-04-16,KTW,0,Ryanair,2020-02-17T11:46:49.829319,205,876,MIL,2020-04-07,True,2020-02-17
54,20.53,0,True,2020-02-23,EVN,0,City.Travel,2020-02-17T10:16:00.908307,315,82,LWN,2020-02-20,True,2020-02-17
55,20.55,0,True,2020-03-05,LWN,0,City.Travel,2020-02-17T09:04:54.702819,315,82,EVN,2020-03-03,True,2020-02-17
56,20.79,0,True,2020-03-01,ILO,0,Trip.com,2020-02-14T10:17:29.011473,160,453,MNL,2020-02-27,True,2020-02-17
57,21.05,0,True,2020-03-23,OSL,0,FlightNetwork,2020-02-16T17:29:03.172882,205,856,POZ,2020-03-20,True,2020-02-17
58,21.12,0,True,2020-03-26,DUB,0,Ryanair,2020-02-14T14:45:24.995166,130,335,EDI,2020-03-24,True,2020-02-17
59,21.18,0,True,2020-05-16,BRU,0,FlightNetwork,2020-02-16T12:14:35.177332,245,1161,WAW,2020-05-13,True,2020-02-17
60,21.21,0,True,2020-02-26,KTW,0,Trip.com,2020-02-15T16:45:48.129151,240,1118,OSL,2020-02-19,True,2020-02-17
61,21.28,0,True,2020-03-28,KUL,0,Trip.com,2020-02-15T09:16:46.463756,120,251,JHB,2020-03-26,True,2020-02-17
62,21.28,0,True,2020-03-09,GDN,0,Trip.com,2020-02-14T08:54:34.471472,215,973,HAU,2020-03-06,True,2020-02-17
63,21.32,0,True,2020-03-31,BUD,0,Ryanair,2020-02-17T14:44:53.813289,185,756,MIL,2020-03-25,True,2020-02-17
64,21.56,0,True,2020-05-13,BUD,0,FlightNetwork,2020-02-17T12:44:46.945087,180,685,BER,2020-05-12,True,2020-02-17
65,21.57,0,True,2020-03-04,BRU,0,FlightNetwork,2020-02-17T07:49:19.509573,240,1130,BUD,2020-03-02,True,2020-02-17
66,21.59,0,True,2020-03-09,MOW,0,Rusline,2020-02-17T18:59:42.585108,90,131,KLF,2020-03-06,True,2020-02-17
67,21.59,0,True,2020-03-06,KLF,0,Rusline,2020-02-17T09:02:11.525591,90,131,MOW,2020-02-24,True,2020-02-17
68,21.62,0,True,2020-08-28,ALG,0,Mytrip.com,2020-02-16T01:13:02.596114,75,166,BJA,2020-08-27,True,2020-02-17
69,21.67,0,True,2020-04-07,ROM,0,Trip.com,2020-02-16T22:51:15.401546,200,780,VIE,2020-04-02,True,2020-02-17
70,21.69,0,True,2020-04-04,BER,0,Trip.com,2020-02-16T14:13:42.481877,180,685,BUD,2020-03-31,True,2020-02-17
71,21.7,0,True,2020-05-13,OSL,0,Kiwi.com,2020-02-16T19:00:59.919927,275,1296,VIE,2020-05-11,True,2020-02-17
72,21.7,0,True,2020-03-26,BTU,0,Trip.com,2020-02-14T07:53:56.925144,105,354,KCH,2020-03-24,True,2020-02-17
73,21.75,0,True,2020-03-17,DTM,0,Trip.com,2020-02-14T14:37:54.337846,225,1011,PLQ,2020-03-10,True,2020-02-17
74,21.81,0,True,2020-03-18,BUD,0,Trip.com,2020-02-14T13:37:20.370154,120,412,TGM,2020-03-17,True,2020-02-17
75,21.81,0,True,2020-03-17,MIL,0,Trip.com,2020-02-14T10:07:41.676670,215,901,TSR,2020-03-12,True,2020-02-17
76,21.83,0,True,2020-03-03,PWQ,0,Tickets.kz,2020-02-17T10:59:38.255074,135,407,TSE,2020-02-29,True,2020-02-17
77,21.83,0,True,2020-05-02,TSE,0,Tickets.kz,2020-02-17T05:38:41.527584,125,407,PWQ,2020-04-16,True,2020-02-17
78,21.83,0,True,2020-04-29,OSL,0,Ryanair,2020-02-16T20:51:12.450072,230,1023,LON,2020-04-22,True,2020-02-17
79,21.86,0,True,2020-05-10,KUL,0,AirAsia,2020-02-16T13:19:44.334402,125,330,TGG,2020-05-05,True,2020-02-17
80,21.95,0,True,2020-02-23,BTS,0,KupiBilet.ru,2020-02-14T12:22:47.193665,225,61,VIE,2020-02-21,True,2020-02-17
