,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,9.78,0,True,2020-02-28,GDN,0,Ryanair,2020-02-22T12:11:15.591459,150,498,STO,2020-02-28,True,2020-02-22
1,10.9,0,True,2020-03-30,INI,0,Ryanair,2020-02-20T09:13:36.265566,155,647,BTS,2020-03-27,True,2020-02-22
2,10.9,0,True,2020-03-02,BER,0,Ryanair,2020-02-21T14:39:50.667024,140,471,BLL,2020-03-01,True,2020-02-22
3,10.92,0,True,2020-03-10,DUB,0,Ryanair,2020-02-21T00:07:23.547202,125,263,MAN,2020-03-10,True,2020-02-22
4,10.92,0,True,2020-04-27,STR,0,Ryanair,2020-02-21T18:32:52.347683,150,547,VIE,2020-04-24,True,2020-02-22
5,11.03,0,True,2020-04-29,VIE,0,Ryanair,2020-02-22T14:51:47.504229,150,547,STR,2020-04-29,True,2020-02-22
6,13.05,0,True,2020-03-04,LON,0,Ryanair,2020-02-21T21:28:12.234268,170,431,DUB,2020-03-03,True,2020-02-22
7,13.17,0,True,2020-03-11,NQT,0,Ryanair,2020-02-22T14:30:40.501523,130,334,DUB,2020-03-10,True,2020-02-22
8,14.15,0,True,2020-02-29,WAW,0,Ryanair,2020-02-22T14:10:45.304256,185,741,STO,2020-02-27,True,2020-02-22
9,14.39,0,True,2020-03-10,WRO,0,Ryanair,2020-02-21T22:15:52.382778,130,379,GDN,2020-03-05,True,2020-02-22
10,15.43,0,True,2020-03-18,DUB,0,Ryanair,2020-02-22T10:43:32.064672,160,431,LON,2020-03-17,True,2020-02-22
11,15.75,0,True,2020-06-22,SCL,0,Trip.com,2020-02-18T21:47:15.979701,119,388,LSC,2020-06-20,True,2020-02-22
12,15.75,0,True,2020-03-05,LON,0,Ryanair,2020-02-20T15:13:22.895004,235,930,MIL,2020-02-27,True,2020-02-22
13,15.79,0,True,2020-03-07,LON,0,Ryanair,2020-02-22T03:29:29.944840,215,815,LYS,2020-02-29,True,2020-02-22
14,16.44,0,True,2020-03-04,ORK,0,Ryanair,2020-02-19T22:56:42.345702,170,556,LON,2020-02-26,True,2020-02-22
15,16.62,0,True,2020-03-03,GOT,0,Ryanair,2020-02-19T15:45:47.483546,240,1001,LON,2020-02-28,True,2020-02-22
16,16.83,0,True,2020-07-28,VOG,0,Utair,2020-02-21T18:32:30.231482,155,390,ASF,2020-07-13,True,2020-02-22
