,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,6.89,0,True,2020-03-08,TPE,1,eDreams,2020-02-27T06:41:01.009916,2615,2182,TYO,2020-03-02,True,2020-02-28
1,10.81,0,True,2020-04-06,STR,0,Ryanair,2020-02-24T18:25:55.045259,150,547,VIE,2020-04-02,True,2020-02-28
2,11.63,0,True,2020-04-02,DTM,0,eDreams,2020-02-25T10:22:05.705651,190,744,VIE,2020-04-01,True,2020-02-28
3,12.91,0,True,2020-03-10,LON,0,Ryanair,2020-02-25T03:58:46.839589,165,431,DUB,2020-03-10,True,2020-02-28
4,15.76,0,True,2020-05-08,KUL,0,Trip.com,2020-02-25T04:46:31.643705,125,330,TGG,2020-05-04,True,2020-02-28
5,16.0,0,True,2020-05-16,KUL,0,Trip.com,2020-02-28T03:41:10.809174,145,454,LGK,2020-05-14,True,2020-02-28
6,16.49,0,True,2020-08-03,ASF,0,Utair,2020-02-25T15:22:58.892420,175,390,VOG,2020-02-29,True,2020-02-28
7,16.49,0,True,2020-05-12,VOG,0,Utair,2020-02-27T09:18:08.782370,155,390,ASF,2020-05-08,True,2020-02-28
8,16.78,0,True,2020-03-24,RIO,1,Biletix,2020-02-26T09:23:48.247428,620,361,BHZ,2020-03-23,True,2020-02-28
9,17.09,0,True,2020-05-25,SCL,0,Clickavia,2020-02-25T15:24:49.840237,122,388,LSC,2020-05-23,True,2020-02-28
10,17.16,0,True,2020-04-27,LSC,0,FlightNetwork,2020-02-26T23:59:18.593404,122,388,SCL,2020-04-24,True,2020-02-28
11,17.53,0,True,2020-04-21,KUL,0,Trip.com,2020-02-25T11:27:02.694455,125,324,PEN,2020-04-13,True,2020-02-28
12,17.53,0,True,2020-03-10,VIE,0,Ryanair,2020-02-25T10:50:28.559422,150,547,STR,2020-03-06,True,2020-02-28
13,18.2,0,True,2020-09-27,BKI,0,Trip.com,2020-02-26T17:25:27.428036,95,222,SDK,2020-09-26,True,2020-02-28
14,18.53,0,True,2020-04-25,OMS,0,Utair,2020-02-25T05:17:22.104320,175,552,TJM,2020-04-20,True,2020-02-28
15,18.53,0,True,2020-04-06,TJM,0,Utair,2020-02-27T20:21:32.338661,175,552,OMS,2020-04-04,True,2020-02-28
16,18.93,0,True,2020-03-07,JHB,0,Trip.com,2020-02-26T10:00:19.255991,105,251,KUL,2020-03-06,True,2020-02-28
17,18.95,0,True,2020-04-06,TGG,0,Trip.com,2020-02-27T16:26:38.158710,125,330,KUL,2020-04-02,True,2020-02-28
18,19.05,0,True,2020-04-22,VIE,0,Kiwi.com,2020-02-25T11:34:09.622974,180,657,MIL,2020-04-17,True,2020-02-28
19,19.3,0,True,2020-03-10,PEN,0,Trip.com,2020-02-25T05:38:46.874947,135,324,KUL,2020-03-03,True,2020-02-28
20,19.4,0,True,2020-04-29,PEN,0,Trip.com,2020-02-27T18:29:46.636158,80,130,LGK,2020-04-22,True,2020-02-28
21,19.52,0,True,2020-03-10,GDN,0,Wizz Air,2020-02-27T21:26:03.894018,155,612,BLL,2020-03-07,True,2020-02-28
22,19.68,0,True,2020-03-29,KTW,0,Ryanair,2020-02-24T14:07:29.779617,240,1080,KHE,2020-03-25,True,2020-02-28
23,19.69,0,True,2020-03-03,KUL,0,Trip.com,2020-02-27T05:17:31.835058,120,251,JHB,2020-03-03,True,2020-02-28
24,19.91,0,True,2020-05-09,GDN,0,Ryanair,2020-02-26T20:23:30.134405,170,730,OSL,2020-05-05,True,2020-02-28
