,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,10.9,0,True,2020-03-30,INI,0,Ryanair,2020-02-20T09:13:36.265566,155,647,BTS,2020-03-27,True,2020-02-23
1,11.0,0,True,2020-03-15,BER,0,Ryanair,2020-02-23T19:18:55.539662,140,471,BLL,2020-03-13,True,2020-02-23
2,11.01,0,True,2020-04-04,BER,0,Ryanair,2020-02-23T23:13:31.635761,180,685,BUD,2020-04-01,True,2020-02-23
3,11.03,0,True,2020-03-10,DUB,0,Ryanair,2020-02-23T13:50:52.079790,125,263,MAN,2020-03-10,True,2020-02-23
4,11.03,0,True,2020-04-03,FRA,0,Ryanair,2020-02-23T16:46:22.083278,160,603,VCE,2020-04-01,True,2020-02-23
5,11.03,0,True,2020-03-03,DUB,0,Ryanair,2020-02-23T19:04:17.146109,160,431,LON,2020-03-03,True,2020-02-23
6,11.03,0,True,2020-04-24,STR,0,Ryanair,2020-02-23T18:54:54.427952,150,547,VIE,2020-04-21,True,2020-02-23
7,11.03,0,True,2020-04-27,VIE,0,Ryanair,2020-02-23T12:52:01.859405,150,547,STR,2020-04-01,True,2020-02-23
8,11.87,0,True,2020-04-02,DTM,0,Opodo,2020-02-22T17:23:54.133469,190,744,VIE,2020-04-01,True,2020-02-23
9,13.17,0,True,2020-03-10,LON,0,Ryanair,2020-02-22T11:02:58.749551,165,431,DUB,2020-03-10,True,2020-02-23
10,13.17,0,True,2020-03-11,NQT,0,Ryanair,2020-02-23T06:30:25.477775,130,334,DUB,2020-03-10,True,2020-02-23
11,14.51,0,True,2020-03-10,WRO,0,Ryanair,2020-02-23T09:29:35.163293,130,379,GDN,2020-03-05,True,2020-02-23
12,14.91,0,True,2020-03-02,GDN,0,Ryanair,2020-02-23T20:23:06.762743,150,498,STO,2020-02-28,True,2020-02-23
13,14.93,0,True,2020-04-02,KRK,0,Ryanair,2020-02-23T19:16:04.581377,150,528,BER,2020-03-17,True,2020-02-23
14,15.79,0,True,2020-02-29,LON,0,Ryanair,2020-02-22T12:28:26.132134,250,930,MIL,2020-02-28,True,2020-02-23
15,16.83,0,True,2020-03-15,BLL,0,Ryanair,2020-02-23T17:35:27.813445,190,723,LON,2020-03-14,True,2020-02-23
