,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,1.85,0,True,2020-05-25,CEB,0,eDreams,2020-03-02T12:51:46.676768,120,228,IAO,2020-05-22,True,2020-03-02
1,15.2,0,True,2020-05-16,KUL,0,Trip.com,2020-03-01T11:53:20.597447,145,454,LGK,2020-05-14,True,2020-03-02
2,16.03,0,True,2020-07-24,ZAM,0,Trip.com,2020-02-29T15:29:47.040672,160,396,DVO,2020-07-17,True,2020-03-02
3,16.15,0,True,2020-03-10,VOG,0,Utair,2020-02-28T09:04:49.420608,175,390,ASF,2020-03-09,True,2020-03-02
4,16.15,0,True,2020-05-04,ASF,0,Utair,2020-03-02T08:32:14.561212,155,390,VOG,2020-05-02,True,2020-03-02
5,16.85,0,True,2020-04-16,SCL,0,FlightNetwork,2020-02-27T19:45:16.964894,122,388,LSC,2020-04-13,True,2020-03-02
6,17.72,0,True,2020-05-19,HKT,0,Tickets.kz,2020-03-02T13:00:14.976074,220,979,SIN,2020-04-14,True,2020-03-02
7,18.15,0,True,2020-04-25,TJM,0,Utair,2020-03-01T07:56:53.308526,175,552,OMS,2020-04-20,True,2020-03-02
8,18.15,0,True,2020-04-11,OMS,0,Utair,2020-03-01T07:13:21.537870,175,552,TJM,2020-04-06,True,2020-03-02
9,18.55,0,True,2020-04-06,TGG,0,Trip.com,2020-02-27T16:26:38.158710,125,330,KUL,2020-04-02,True,2020-03-02
10,18.69,0,True,2020-07-23,ROM,0,OneTwoTrip,2020-03-02T13:05:49.018465,365,1839,LIS,2020-07-14,True,2020-03-02
11,18.85,0,True,2020-05-04,KUL,0,Trip.com,2020-03-01T00:18:47.154913,125,324,PEN,2020-04-30,True,2020-03-02
12,19.0,0,True,2020-04-29,PEN,0,Trip.com,2020-02-27T18:29:46.636158,80,130,LGK,2020-04-22,True,2020-03-02
13,19.42,0,True,2020-04-06,LSC,0,eDreams,2020-03-01T01:07:58.472404,122,388,SCL,2020-04-03,True,2020-03-02
14,19.44,0,True,2020-04-28,BUD,0,Trip.com,2020-03-02T14:49:25.727526,180,685,BER,2020-04-27,True,2020-03-02
15,19.6,0,True,2020-03-11,EVN,0,City.Travel,2020-02-29T16:03:21.904003,315,82,LWN,2020-03-10,True,2020-03-02
16,19.6,0,True,2020-03-17,LWN,0,City.Travel,2020-02-29T17:15:06.097526,315,82,EVN,2020-03-13,True,2020-03-02
17,19.67,0,True,2020-04-21,GDN,0,Ryanair,2020-02-27T19:08:54.884689,170,730,OSL,2020-04-17,True,2020-03-02
18,19.76,0,True,2020-05-10,KRK,0,Ryanair,2020-02-29T16:32:13.816546,245,1181,OSL,2020-05-07,True,2020-03-02
19,19.78,0,True,2020-03-10,GDN,0,Wizz Air,2020-02-29T22:14:19.106492,155,612,BLL,2020-03-07,True,2020-03-02
20,20.0,0,True,2020-05-10,KUL,0,Trip.com,2020-03-01T03:02:39.729891,135,385,KBR,2020-05-04,True,2020-03-02
21,20.03,0,True,2020-04-07,ROM,0,Trip.com,2020-03-01T12:25:48.957936,190,780,VIE,2020-04-04,True,2020-03-02
22,20.03,0,True,2020-03-10,MIL,0,Trip.com,2020-03-01T03:10:24.070014,180,657,VIE,2020-03-09,True,2020-03-02
23,20.18,0,True,2020-03-20,STO,0,Wizz Air,2020-02-27T17:38:51.845719,140,498,GDN,2020-03-19,True,2020-03-02
24,20.2,0,True,2020-03-23,KUL,0,Trip.com,2020-03-01T08:09:51.693040,120,251,JHB,2020-03-20,True,2020-03-02
25,20.26,0,True,2020-03-15,GDN,0,Wizz Air,2020-03-01T09:29:01.843526,140,498,STO,2020-03-14,True,2020-03-02
26,20.26,0,True,2020-03-23,WRO,0,Wizz Air,2020-03-02T13:26:26.662963,195,853,STO,2020-03-20,True,2020-03-02
27,20.45,0,True,2020-05-24,MOW,0,Rusline,2020-03-02T15:50:55.428905,90,131,KLF,2020-05-22,True,2020-03-02
