,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,8.14,0,True,2020-06-12,TPE,1,eDreams,2020-03-06T13:36:24.686758,1420,2182,TYO,2020-06-11,True,2020-03-06
1,13.98,0,True,2020-04-26,KUL,0,Trip.com,2020-03-05T10:16:01.510791,145,454,LGK,2020-04-25,True,2020-03-06
2,16.0,0,True,2020-05-21,HKT,0,Trip.com,2020-03-06T13:19:43.975611,180,675,BKK,2020-05-19,True,2020-03-06
3,16.35,0,True,2020-04-10,ASF,0,Utair,2020-03-05T19:51:14.755815,155,390,VOG,2020-04-07,True,2020-03-06
4,16.35,0,True,2020-03-31,VOG,0,Utair,2020-03-05T05:10:22.649797,155,390,ASF,2020-03-27,True,2020-03-06
5,17.33,0,True,2020-05-18,SCL,0,FlightNetwork,2020-03-02T20:48:43.665451,122,388,LSC,2020-05-15,True,2020-03-06
6,18.03,0,True,2020-04-16,VLC,0,SuperSaver.ru,2020-03-05T21:56:02.793453,110,274,PMI,2020-04-11,True,2020-03-06
7,18.37,0,True,2020-04-27,TJM,0,Utair,2020-03-06T04:52:17.903115,175,552,OMS,2020-04-25,True,2020-03-06
8,18.37,0,True,2020-04-27,OMS,0,Utair,2020-03-06T14:31:46.087449,175,552,TJM,2020-04-25,True,2020-03-06
9,18.43,0,True,2020-06-20,EVN,0,City.Travel,2020-03-04T06:08:08.540705,255,82,LWN,2020-05-20,True,2020-03-06
10,18.43,0,True,2020-04-18,LSC,0,Kiwi.com,2020-03-05T14:35:31.250056,122,388,SCL,2020-04-17,True,2020-03-06
11,18.83,0,True,2020-05-09,KUL,0,Trip.com,2020-03-05T23:56:32.101770,130,385,KBR,2020-05-03,True,2020-03-06
12,19.05,0,True,2020-05-11,PEN,0,Trip.com,2020-03-06T07:28:59.193818,125,324,KUL,2020-05-07,True,2020-03-06
13,19.07,0,True,2020-05-06,KUL,0,Trip.com,2020-03-04T16:34:52.126102,120,324,PEN,2020-05-05,True,2020-03-06
14,19.28,0,True,2020-05-06,JHB,0,Trip.com,2020-03-06T07:09:24.738181,120,251,KUL,2020-05-05,True,2020-03-06
15,20.03,0,True,2020-04-12,GDN,0,Wizz Air,2020-03-05T14:46:23.591944,150,612,BLL,2020-03-14,True,2020-03-06
16,20.08,0,True,2020-05-03,TGG,0,Trip.com,2020-03-04T09:36:09.389355,125,330,KUL,2020-05-02,True,2020-03-06
17,20.1,0,True,2020-05-26,LWN,0,City.Travel,2020-03-03T12:46:27.022195,255,82,EVN,2020-05-20,True,2020-03-06
18,20.28,0,True,2020-03-27,CRK,0,Kiwi.com,2020-03-04T11:23:35.678089,160,436,KLO,2020-03-25,True,2020-03-06
19,20.52,0,True,2020-05-13,GDN,0,Ryanair,2020-03-03T17:19:27.259812,170,730,OSL,2020-05-12,True,2020-03-06
20,20.59,0,True,2020-03-22,KRK,0,Ryanair,2020-03-04T20:57:48.822326,250,1181,OSL,2020-03-20,True,2020-03-06
21,20.62,0,True,2020-04-17,GDN,0,Ryanair,2020-03-06T11:30:15.201379,260,1241,LON,2020-04-01,True,2020-03-06
22,20.62,0,True,2020-03-14,GDN,0,Wizz Air,2020-03-06T11:38:33.686459,140,498,STO,2020-03-11,True,2020-03-06
23,20.64,0,True,2020-04-01,OSL,0,Wizz Air,2020-03-03T15:49:54.020940,170,730,GDN,2020-03-30,True,2020-03-06
24,20.7,0,True,2020-03-29,MOW,0,Rusline,2020-03-06T15:19:50.013939,90,131,KLF,2020-03-27,True,2020-03-06
25,20.7,0,True,2020-04-24,KLF,0,Rusline,2020-03-05T17:57:11.564954,90,131,MOW,2020-04-13,True,2020-03-06
26,20.76,0,True,2020-08-19,VIE,0,KupiBilet.ru,2020-03-03T07:05:20.182221,220,61,BTS,2020-07-02,True,2020-03-06
27,20.85,0,True,2020-04-16,VIE,0,Trip.com,2020-03-06T12:11:32.907694,170,657,MIL,2020-04-12,True,2020-03-06
28,20.85,0,True,2020-04-11,MIL,0,Trip.com,2020-03-05T10:07:19.116370,175,657,VIE,2020-04-06,True,2020-03-06
29,21.05,0,True,2020-03-12,STO,0,Wizz Air,2020-03-03T08:28:08.215586,140,498,GDN,2020-03-10,True,2020-03-06
30,21.06,0,True,2020-05-02,MUC,0,Kiwi.com,2020-03-03T06:36:28.217089,290,1397,IEV,2020-03-10,True,2020-03-06
31,21.12,0,True,2020-05-12,KTW,0,Wizz Air,2020-03-06T08:19:09.866014,205,934,STO,2020-05-07,True,2020-03-06
32,21.15,0,True,2020-03-31,BRU,0,Trip.com,2020-03-06T11:56:52.455035,230,1130,BUD,2020-03-28,True,2020-03-06
33,21.17,0,True,2020-04-23,ROM,0,Trip.com,2020-03-02T17:14:15.170317,200,780,VIE,2020-04-22,True,2020-03-06
34,21.17,0,True,2020-04-02,BRU,0,Trip.com,2020-03-05T07:16:55.334556,240,1161,WAW,2020-03-31,True,2020-03-06
35,21.26,0,True,2020-04-27,WAW,0,Trip.com,2020-03-06T15:16:30.018723,240,1161,BRU,2020-04-23,True,2020-03-06
36,21.35,0,True,2020-06-01,LWO,0,FlyFar,2020-03-06T14:42:28.610959,115,355,KTW,2020-05-20,True,2020-03-06
37,21.65,0,True,2020-04-12,BTS,0,KupiBilet.ru,2020-03-04T10:23:08.213538,220,61,VIE,2020-04-10,True,2020-03-06
38,21.68,0,True,2020-06-27,PWQ,0,Tickets.kz,2020-03-05T01:43:17.442608,125,407,TSE,2020-06-06,True,2020-03-06
39,21.7,0,True,2020-04-04,TSE,0,Tickets.kz,2020-03-05T12:40:33.786929,125,407,PWQ,2020-04-02,True,2020-03-06
40,21.79,0,True,2020-04-11,VIE,0,FlightNetwork,2020-03-05T22:13:45.109575,215,987,BLL,2020-04-04,True,2020-03-06
41,21.89,0,True,2020-06-07,BUD,0,Ryanair,2020-03-04T23:13:02.025454,180,685,BER,2020-06-05,True,2020-03-06
42,22.23,0,True,2020-05-20,SAO,1,Mytrip.com,2020-03-05T02:53:12.363197,375,359,CWB,2020-05-13,True,2020-03-06
43,22.29,0,True,2020-04-02,BHZ,1,Mytrip.com,2020-03-03T08:38:10.058543,465,373,RIO,2020-03-31,True,2020-03-06
44,22.29,0,True,2020-03-24,PAR,0,Kiwi.com,2020-03-05T16:40:15.579800,300,1486,TUN,2020-03-14,True,2020-03-06
45,22.3,0,True,2020-05-27,BSB,1,Mytrip.com,2020-03-03T23:57:49.210446,540,928,RIO,2020-05-21,True,2020-03-06
46,22.32,0,True,2020-05-24,MGF,2,Mytrip.com,2020-03-05T12:52:12.664517,1620,367,CWB,2020-05-23,True,2020-03-06
47,22.56,0,True,2020-04-26,WAW,0,Kiwi.com,2020-03-06T10:20:32.456808,225,1026,OSL,2020-04-23,True,2020-03-06
48,22.62,0,True,2020-03-22,KTW,0,Kiwi.com,2020-03-05T18:02:57.350762,240,1118,OSL,2020-03-20,True,2020-03-06
49,22.68,0,True,2020-05-03,SJJ,0,FlightNetwork,2020-03-06T14:17:13.909307,130,407,BUD,2020-04-29,True,2020-03-06
50,22.69,0,True,2020-04-24,MIL,0,Wizz Air,2020-03-06T13:04:50.508162,205,901,TSR,2020-04-18,True,2020-03-06
51,22.69,0,True,2020-05-12,VNO,0,Wizz Air,2020-03-06T10:01:17.087957,340,1666,LON,2020-05-05,True,2020-03-06
52,22.71,0,True,2020-04-06,TSR,0,Wizz Air,2020-03-05T17:20:52.063301,205,901,MIL,2020-04-04,True,2020-03-06
53,22.72,0,True,2020-06-01,WRY,0,Svyaznoy Travel,2020-03-02T23:06:39.822548,4,2,PPW,2020-06-01,True,2020-03-06
54,22.84,0,True,2020-03-21,TUN,0,FlightNetwork,2020-03-05T18:24:11.743812,300,1486,PAR,2020-03-15,True,2020-03-06
55,22.88,0,True,2020-05-16,XAP,0,Mytrip.com,2020-03-02T21:10:05.096904,120,408,FLN,2020-05-13,True,2020-03-06
56,22.88,0,True,2020-03-29,GDN,0,Kiwi.com,2020-03-03T14:18:33.321628,235,1131,MOL,2020-03-27,True,2020-03-06
57,22.89,0,True,2020-03-18,IST,0,Pegasus Airlines,2020-03-03T21:38:16.928169,130,323,ANK,2020-03-11,True,2020-03-06
