,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,10.55,0,True,2020-08-31,ROM,2,eDreams,2020-03-01T07:51:45.112738,5955,7121,COK,2020-08-01,True,2020-03-01
1,15.2,0,True,2020-05-16,KUL,0,Trip.com,2020-03-01T11:53:20.597447,145,454,LGK,2020-05-14,True,2020-03-01
2,16.03,0,True,2020-07-24,ZAM,0,Trip.com,2020-02-29T15:29:47.040672,160,396,DVO,2020-07-17,True,2020-03-01
3,16.15,0,True,2020-03-16,ASF,0,Utair,2020-02-27T16:10:59.591340,175,390,VOG,2020-03-14,True,2020-03-01
4,16.15,0,True,2020-03-10,VOG,0,Utair,2020-02-28T09:04:49.420608,175,390,ASF,2020-03-09,True,2020-03-01
5,16.81,0,True,2020-04-27,LSC,0,FlightNetwork,2020-02-26T23:59:18.593404,122,388,SCL,2020-04-24,True,2020-03-01
6,16.85,0,True,2020-04-16,SCL,0,FlightNetwork,2020-02-27T19:45:16.964894,122,388,LSC,2020-04-13,True,2020-03-01
7,17.82,0,True,2020-09-27,BKI,0,Trip.com,2020-02-26T17:25:27.428036,95,222,SDK,2020-09-26,True,2020-03-01
8,18.15,0,True,2020-04-11,OMS,0,Utair,2020-03-01T00:36:58.039392,175,552,TJM,2020-04-04,True,2020-03-01
9,18.15,0,True,2020-04-18,TJM,0,Utair,2020-02-28T04:44:54.467581,175,552,OMS,2020-04-18,True,2020-03-01
10,18.55,0,True,2020-04-06,TGG,0,Trip.com,2020-02-27T16:26:38.158710,125,330,KUL,2020-04-02,True,2020-03-01
11,18.85,0,True,2020-05-04,KUL,0,Trip.com,2020-03-01T00:18:47.154913,125,324,PEN,2020-04-30,True,2020-03-01
12,19.0,0,True,2020-04-29,PEN,0,Trip.com,2020-02-27T18:29:46.636158,80,130,LGK,2020-04-22,True,2020-03-01
13,19.06,0,True,2020-05-01,KUL,0,Trip.com,2020-02-27T12:46:58.784759,125,330,TGG,2020-04-27,True,2020-03-01
14,19.39,0,True,2020-05-05,KUL,0,Trip.com,2020-02-26T17:54:11.448840,105,251,JHB,2020-04-30,True,2020-03-01
15,19.44,0,True,2020-04-23,BER,0,Trip.com,2020-02-29T22:20:17.458109,180,685,BUD,2020-04-21,True,2020-03-01
16,19.57,0,True,2020-03-11,GDN,0,Wizz Air,2020-02-26T23:08:04.942804,180,730,OSL,2020-03-07,True,2020-03-01
17,19.58,0,True,2020-03-12,PEN,0,Trip.com,2020-02-27T08:53:02.396440,140,324,KUL,2020-03-05,True,2020-03-01
18,19.6,0,True,2020-03-12,EVN,0,City.Travel,2020-02-29T16:10:15.241073,315,82,LWN,2020-03-10,True,2020-03-01
19,19.6,0,True,2020-03-17,LWN,0,City.Travel,2020-02-29T17:15:06.097526,315,82,EVN,2020-03-13,True,2020-03-01
20,19.76,0,True,2020-04-27,KRK,0,Ryanair,2020-02-28T10:52:08.879698,245,1181,OSL,2020-04-24,True,2020-03-01
21,19.78,0,True,2020-03-10,GDN,0,Wizz Air,2020-02-29T22:14:19.106492,155,612,BLL,2020-03-07,True,2020-03-01
22,19.96,0,True,2020-04-13,GDN,0,Wizz Air,2020-02-26T21:28:20.850602,135,498,STO,2020-04-09,True,2020-03-01
23,20.0,0,True,2020-05-10,KUL,0,Trip.com,2020-03-01T03:02:39.729891,135,385,KBR,2020-05-04,True,2020-03-01
24,20.03,0,True,2020-04-07,ROM,0,Trip.com,2020-03-01T12:25:48.957936,190,780,VIE,2020-04-04,True,2020-03-01
25,20.03,0,True,2020-03-10,MIL,0,Trip.com,2020-03-01T03:10:24.070014,180,657,VIE,2020-03-09,True,2020-03-01
26,20.14,0,True,2020-05-03,JHB,0,Trip.com,2020-02-26T14:40:51.663257,110,251,KUL,2020-05-01,True,2020-03-01
27,20.18,0,True,2020-03-20,STO,0,Wizz Air,2020-02-27T17:38:51.845719,140,498,GDN,2020-03-19,True,2020-03-01
28,20.45,0,True,2020-04-26,MOW,0,Rusline,2020-03-01T11:50:44.409131,90,131,KLF,2020-04-24,True,2020-03-01
29,20.45,0,True,2020-04-10,KLF,0,Rusline,2020-02-26T16:27:50.787061,90,131,MOW,2020-03-29,True,2020-03-01
30,20.51,0,True,2020-03-05,BTS,0,KupiBilet.ru,2020-02-29T18:23:58.584956,225,61,VIE,2020-03-02,True,2020-03-01
31,20.51,0,True,2020-03-14,VIE,0,KupiBilet.ru,2020-02-27T22:21:25.189193,225,61,BTS,2020-03-14,True,2020-03-01
32,20.75,0,True,2020-04-04,BRU,0,FlightNetwork,2020-02-29T15:36:38.171410,240,1161,WAW,2020-03-31,True,2020-03-01
