,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,7.99,0,True,2020-05-20,NLV,0,Kiwi.com,2020-02-24T11:24:36.000952,110,373,IEV,2020-05-20,True,2020-02-25
1,11.0,0,True,2020-03-13,INI,0,Ryanair,2020-02-23T22:39:36.027218,155,647,BTS,2020-03-09,True,2020-02-25
2,11.03,0,True,2020-04-06,FRA,0,Ryanair,2020-02-24T12:54:37.989017,160,603,VCE,2020-04-01,True,2020-02-25
3,11.03,0,True,2020-04-27,VIE,0,Ryanair,2020-02-23T12:52:01.859405,150,547,STR,2020-04-01,True,2020-02-25
4,11.03,0,True,2020-04-22,STR,0,Ryanair,2020-02-23T20:38:59.409085,150,547,VIE,2020-04-20,True,2020-02-25
5,11.03,0,True,2020-03-03,DUB,0,Ryanair,2020-02-23T19:04:17.146109,160,431,LON,2020-03-03,True,2020-02-25
6,11.87,0,True,2020-04-02,DTM,0,eDreams,2020-02-25T10:22:05.705651,190,744,VIE,2020-04-01,True,2020-02-25
7,13.17,0,True,2020-03-25,LON,0,Ryanair,2020-02-23T19:22:55.742503,170,431,DUB,2020-03-24,True,2020-02-25
8,14.93,0,True,2020-04-02,KRK,0,Ryanair,2020-02-24T08:08:36.126712,150,528,BER,2020-03-17,True,2020-02-25
9,15.1,0,True,2020-05-16,KUL,0,Trip.com,2020-02-24T09:14:50.990493,145,454,LGK,2020-05-14,True,2020-02-25
10,15.79,0,True,2020-03-05,LON,0,Ryanair,2020-02-24T09:49:07.953158,245,976,MIL,2020-03-04,True,2020-02-25
11,16.08,0,True,2020-05-08,KUL,0,Trip.com,2020-02-25T04:46:31.643705,125,330,TGG,2020-05-04,True,2020-02-25
12,16.7,0,True,2020-03-31,PEN,0,Trip.com,2020-02-24T08:52:22.954468,75,130,LGK,2020-03-10,True,2020-02-25
13,16.83,0,True,2020-03-11,CPH,0,Ryanair,2020-02-22T18:39:52.106461,225,950,LON,2020-03-04,True,2020-02-25
14,16.83,0,True,2020-04-11,VOG,0,Utair,2020-02-24T07:13:40.744800,155,390,ASF,2020-04-03,True,2020-02-25
15,16.83,0,True,2020-03-15,BLL,0,Ryanair,2020-02-23T17:35:27.813445,190,723,LON,2020-03-14,True,2020-02-25
16,16.83,0,True,2020-04-10,ASF,0,Utair,2020-02-24T18:17:33.407798,155,390,VOG,2020-04-07,True,2020-02-25
17,17.01,0,True,2020-03-10,KUL,0,Trip.com,2020-02-25T14:46:06.378743,130,324,PEN,2020-03-03,True,2020-02-25
18,17.36,0,True,2020-05-24,STW,0,Utair,2020-02-25T19:00:50.566409,150,266,AER,2020-05-20,True,2020-02-25
19,17.37,0,True,2020-04-01,VIE,0,City.Travel,2020-02-24T19:23:02.642906,190,657,MIL,2020-03-31,True,2020-02-25
20,17.43,0,True,2020-05-25,SCL,0,Clickavia,2020-02-25T15:24:49.840237,122,388,LSC,2020-05-23,True,2020-02-25
21,17.59,0,True,2020-03-11,MIL,0,Ryanair,2020-02-23T13:03:22.624381,245,976,LON,2020-03-05,True,2020-02-25
22,17.73,0,True,2020-03-30,PEN,0,Trip.com,2020-02-24T17:09:42.642356,130,324,KUL,2020-03-27,True,2020-02-25
23,17.87,0,True,2020-07-07,BSB,1,Biletix,2020-02-22T16:06:33.849114,710,928,RIO,2020-07-01,True,2020-02-25
24,17.87,0,True,2020-04-22,CCP,0,eDreams,2020-02-23T22:34:46.307538,136,428,SCL,2020-04-21,True,2020-02-25
25,18.29,0,True,2020-04-28,RIO,1,Biletix,2020-02-24T08:53:15.754426,505,361,BHZ,2020-04-27,True,2020-02-25
26,18.37,0,True,2020-04-11,MIL,0,Trip.com,2020-02-24T14:09:35.934085,175,588,VIE,2020-04-06,True,2020-02-25
27,18.44,0,True,2020-03-04,BHX,0,Ryanair,2020-02-24T19:39:09.511153,140,321,DUB,2020-03-03,True,2020-02-25
28,18.72,0,True,2020-04-09,STR,1,Kiwi.com,2020-02-24T22:06:49.469059,720,695,ZAD,2020-04-01,True,2020-02-25
29,18.91,0,True,2020-03-23,TJM,0,Utair,2020-02-25T06:29:14.169560,165,552,OMS,2020-03-21,True,2020-02-25
30,18.91,0,True,2020-04-13,OMS,0,Utair,2020-02-24T20:32:14.944264,175,552,TJM,2020-04-04,True,2020-02-25
31,19.0,0,True,2020-05-05,KUL,0,Trip.com,2020-02-24T02:49:32.644990,105,251,JHB,2020-04-30,True,2020-02-25
32,19.19,0,True,2020-03-31,OSL,0,Kiwi.com,2020-02-21T20:59:02.175682,175,782,GDN,2020-03-21,True,2020-02-25
33,19.28,0,True,2020-04-23,BER,0,Kiwi.com,2020-02-25T01:45:16.104844,180,685,BUD,2020-04-21,True,2020-02-25
34,19.41,0,True,2020-03-10,GDN,0,Wizz Air,2020-02-25T11:00:25.699304,155,612,BLL,2020-03-07,True,2020-02-25
35,19.52,0,True,2020-04-23,BUD,0,Ryanair,2020-02-24T18:25:22.750748,180,685,BER,2020-04-22,True,2020-02-25
36,19.75,0,True,2020-03-22,STO,0,Kiwi.com,2020-02-24T15:55:48.119700,250,1186,VIE,2020-03-20,True,2020-02-25
37,19.8,0,True,2020-04-09,FRA,0,Ryanair,2020-02-24T18:52:22.836647,225,1039,AHO,2020-03-29,True,2020-02-25
38,19.81,0,True,2020-03-22,KHE,0,Ryanair,2020-02-22T07:51:54.954587,230,1080,KTW,2020-03-15,True,2020-02-25
39,20.06,0,True,2020-04-25,GDN,0,Ryanair,2020-02-22T19:51:51.517219,170,730,OSL,2020-04-22,True,2020-02-25
40,20.08,0,True,2020-03-23,WRO,0,Wizz Air,2020-02-24T13:13:04.493685,195,853,STO,2020-03-20,True,2020-02-25
41,20.08,0,True,2020-04-22,WRO,0,Ryanair,2020-02-24T10:54:30.929635,205,990,OSL,2020-04-17,True,2020-02-25
42,20.08,0,True,2020-05-11,WAW,0,Ryanair,2020-02-24T06:50:54.024324,210,988,OSL,2020-05-02,True,2020-02-25
43,20.08,0,True,2020-04-05,GDN,0,Ryanair,2020-02-23T10:54:18.340265,140,498,STO,2020-04-02,True,2020-02-25
44,20.08,0,True,2020-04-11,KTW,0,Ryanair,2020-02-23T20:35:19.011381,220,964,ODS,2020-04-04,True,2020-02-25
