,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,9.81,0,True,2020-03-10,WRO,0,Ryanair,2020-02-20T21:26:32.145237,130,379,GDN,2020-03-05,True,2020-02-21
1,11.0,0,True,2020-03-16,BER,0,Ryanair,2020-02-21T09:57:18.429662,140,471,BLL,2020-03-15,True,2020-02-21
2,11.0,0,True,2020-03-30,INI,0,Ryanair,2020-02-20T09:13:36.265566,155,647,BTS,2020-03-27,True,2020-02-21
3,11.01,0,True,2020-04-20,STR,0,Ryanair,2020-02-21T11:34:33.531939,150,547,VIE,2020-04-17,True,2020-02-21
4,11.01,0,True,2020-03-04,DUB,0,Ryanair,2020-02-17T12:43:47.064177,160,431,LON,2020-03-03,True,2020-02-21
5,11.01,0,True,2020-03-10,DUB,0,Ryanair,2020-02-21T00:07:23.547202,125,263,MAN,2020-03-10,True,2020-02-21
6,11.26,0,True,2020-02-29,STO,0,Ryanair,2020-02-18T12:00:33.080296,150,498,GDN,2020-02-25,True,2020-02-21
7,12.38,0,True,2020-04-27,VIE,0,Ryanair,2020-02-20T20:40:33.429948,150,547,STR,2020-04-01,True,2020-02-21
8,13.16,0,True,2020-03-04,BHX,0,Ryanair,2020-02-21T06:29:07.115455,135,321,DUB,2020-03-03,True,2020-02-21
9,13.16,0,True,2020-03-24,LON,0,Ryanair,2020-02-21T11:54:41.298220,170,431,DUB,2020-03-24,True,2020-02-21
10,14.15,0,True,2020-02-29,WAW,0,Ryanair,2020-02-21T09:57:32.990010,185,741,STO,2020-02-28,True,2020-02-21
11,14.94,0,True,2020-03-02,GDN,0,Ryanair,2020-02-21T09:57:00.744901,150,498,STO,2020-02-29,True,2020-02-21
12,15.77,0,True,2020-03-03,LON,0,Ryanair,2020-02-21T02:34:48.897681,230,930,MIL,2020-02-26,True,2020-02-21
13,15.89,0,True,2020-06-22,SCL,0,Trip.com,2020-02-18T21:47:15.979701,119,388,LSC,2020-06-20,True,2020-02-21
14,15.89,0,True,2020-03-07,LON,0,Ryanair,2020-02-20T09:55:57.565762,210,815,LYS,2020-02-29,True,2020-02-21
15,16.58,0,True,2020-03-04,ORK,0,Ryanair,2020-02-19T22:56:42.345702,170,556,LON,2020-02-26,True,2020-02-21
