,value,trip_class,show_to_aff,return_date,origin,number_of_changes,gate,found_at,duration,distance,destination,depart_date,actual,snapshot_on
0,0.69,0,True,2020-03-17,SRG,0,eDreams,2020-03-02T16:22:00.180572,135,421,JKT,2020-03-17,True,2020-03-03
1,2.01,0,True,2020-04-20,EAP,1,Kiwi.com,2020-03-03T06:14:05.024327,1725,1028,BEG,2020-04-10,True,2020-03-03
2,3.08,0,True,2020-05-13,IEV,1,Kiwi.com,2020-03-03T05:50:35.895622,635,2140,LON,2020-04-07,True,2020-03-03
3,3.48,0,True,2020-05-10,CEB,1,eDreams,2020-03-03T00:56:40.647438,635,228,IAO,2020-05-08,True,2020-03-03
4,4.49,0,True,2020-09-17,BCN,1,Kiwi.com,2020-03-03T02:56:59.197560,620,295,VLC,2020-09-12,True,2020-03-03
5,5.17,0,True,2020-06-18,BEG,1,Kiwi.com,2020-03-03T07:35:56.795348,1435,7396,YTO,2020-05-05,True,2020-03-03
6,5.67,0,True,2020-05-25,MNL,1,eDreams,2020-03-03T09:43:21.568368,2215,347,KLO,2020-04-24,True,2020-03-03
7,5.79,0,True,2020-05-01,IEV,1,Kiwi.com,2020-03-03T00:22:06.781105,1010,789,KRK,2020-03-26,True,2020-03-03
8,6.87,0,True,2020-05-03,VIE,1,Kiwi.com,2020-03-03T06:42:34.639515,875,544,BER,2020-03-03,True,2020-03-03
9,7.12,0,True,2020-04-22,LWO,1,Kiwi.com,2020-03-02T23:33:32.428181,1440,1250,ROM,2020-03-05,True,2020-03-03
10,7.79,0,True,2020-06-23,KTW,1,Kiwi.com,2020-03-03T07:22:31.955106,540,901,TGD,2020-06-13,True,2020-03-03
11,7.81,0,True,2020-06-10,BTS,1,Kiwi.com,2020-03-03T00:07:40.593939,780,991,IEV,2020-05-25,True,2020-03-03
12,8.02,0,True,2020-05-10,IEV,1,Kiwi.com,2020-03-03T00:09:38.186784,1080,1059,IST,2020-03-29,True,2020-03-03
13,8.25,0,True,2020-03-04,IFO,0,Kiwi.com,2020-03-03T05:40:19.733062,155,473,IEV,2020-03-04,True,2020-03-03
14,8.34,0,True,2020-05-10,PED,0,Kiwi.com,2020-03-03T06:21:56.277760,240,1078,IEV,2020-04-19,True,2020-03-03
15,9.14,0,True,2020-04-18,PAR,1,Kiwi.com,2020-03-03T05:53:18.640521,2030,1756,SCV,2020-04-11,True,2020-03-03
16,9.66,0,True,2020-04-20,BTS,1,Kiwi.com,2020-03-03T05:17:05.829957,760,525,LWO,2020-04-10,True,2020-03-03
17,9.98,0,True,2020-06-06,DNK,1,Kiwi.com,2020-03-03T05:21:15.808906,620,1182,BUD,2020-06-04,True,2020-03-03
18,10.07,0,True,2020-08-31,ODS,1,Kiwi.com,2020-03-03T05:08:26.130284,490,625,IST,2020-07-31,True,2020-03-03
19,11.16,0,True,2020-03-15,IFO,1,Kiwi.com,2020-03-03T06:51:19.137133,420,601,MSQ,2020-03-13,True,2020-03-03
20,11.9,0,True,2020-05-07,VIE,0,Kiwi.com,2020-03-03T06:49:30.802764,195,786,DUS,2020-04-24,True,2020-03-03
21,11.9,0,True,2020-04-07,DNK,1,Kiwi.com,2020-03-03T02:47:50.521405,705,786,MSQ,2020-03-30,True,2020-03-03
22,11.99,0,True,2020-05-17,DNK,1,Kiwi.com,2020-03-03T04:53:21.557763,1335,959,IST,2020-04-27,True,2020-03-03
23,12.48,0,True,2020-07-16,DNK,1,Kiwi.com,2020-03-03T06:37:26.546688,1065,1467,ATH,2020-06-16,True,2020-03-03
24,12.94,0,True,2020-04-10,LWO,1,Kiwi.com,2020-03-03T03:01:03.005374,475,826,DNK,2020-04-03,True,2020-03-03
25,13.15,0,True,2020-03-31,DXB,0,Kiwi.com,2020-03-03T06:49:57.829610,230,871,RUH,2020-03-16,True,2020-03-03
26,13.22,0,True,2020-05-16,BUD,1,Kiwi.com,2020-03-03T06:32:23.786846,845,872,ODS,2020-04-25,True,2020-03-03
